Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD105,-0.45,38.83,G0V,30,48,1.90E-04,...,...,...,...,1.90E-04,1,Spitzer
HD166$^{r}$,0.08,13.77,G8,20,...,...,310,4.10E-05,72,4.10E-05,8.20E-05,1,Spitzer
HD203,-0.21,39.74,F3V,12,...,...,499,4.20E-06,127,1.00E-04,1.04E-04,1,Spitzer
HD377$^{r}$,-0.23,38.4,G2V,170,...,...,240,5.80E-05,57,2.00E-04,2.58E-04,1,Spitzer
HD432,...,16.78,F2III,1000,140,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
HD870,-0.08,20.65,K0V,5980,...,...,499,2.10E-05,54,1.50E-05,3.60E-05,1,Spitzer
HD1051A,-0.72,131.15,A7III,600,36,2.67E-04,...,...,...,...,2.67E-04," 7,61 ",IRAS
HD1237A$^{p}$,-0.47,17.55,G8V,11900,300,1.63E-04,...,...,...,...,1.63E-04," 11,19 ",WISE
HD1404,...,41.32,A2V,469,...,...,249,1.10E-05,115,6.40E-06,1.74E-05,1,Spitzer
HD1461$^{p}$,0.02,23.4,G3V,6880,...,...,499,3.20E-05,54,2.90E-05,6.10E-05,1,Spitzer
HD1466$^{p}$,-0.43,42.82,F8V,30,...,...,374,7.90E-05,97,5.20E-05,1.31E-04,1,Spitzer
HD1562,-0.61,24.73,G1V,6166,75,5.80E-05,...,...,...,...,5.80E-05," 11,23 ",WISE
HD1581,-0.35,8.61,F9.5V,3020,218,1.60E-05,...,...,...,...,1.60E-05,41,Spitzer
HD1835,-0.02,21.33,G2.5V,600,...,...,329,4.10E-05,75,6.70E-06,4.77E-05,1,Spitzer
HD2262,...,23.97,A5IV,200,100,5.90E-06,...,...,...,...,5.90E-06,1,Spitzer
HD2772,0.44,115.74,B8V,184,170,8.20E-06,...,...,...,...,8.20E-06,1,Spitzer
HD2834,...,54.14,A1V,525,...,...,222,7.10E-06,78,9.50E-06,1.66E-05,1,Spitzer
HD3003,-1.48,46.13,A0V,30,...,...,472,5.60E-05,173,8.80E-05,1.44E-04,1,Spitzer
HD3126,-0.54,40.35,F4V,1500,...,...,219,1.40E-05,51,6.30E-05,7.70E-05,1,Spitzer
HD3296,-0.82,44.84,F6V,1680,...,...,499,2.30E-05,60,1.30E-05,3.60E-05,1,Spitzer
HD3670,-0.33,77.07,F5V,30,...,...,307,6.10E-05,51,3.80E-04,4.41E-04,1,Spitzer
HD4142,...,224.57,B5V,55,...,...,487,1.30E-05,100,9.80E-05,1.11E-04,1,Spitzer
HD4676,-0.33,23.39,F8V,5129,300,1.38E-04,...,...,...,...,1.38E-04," 11,23 ",WISE
HD5133,-0.28,13.94,K2.5V,3640,30,1.10E-05,...,...,...,...,1.10E-05," 11,49 ",WISE
HD5267,...,76.78,A1V,200,...,...,414,3.20E-05,100,7.00E-06,3.90E-05,1,Spitzer
HD5349,...,59.01,K0IV,12306,347,2.70E-05,...,...,...,...,2.70E-05,1,Spitzer
HD6798,-1.06,81.33,A3V,365,...,...,240,3.50E-05,85,9.30E-05,1.28E-04,1,Spitzer
HD6963,-0.02,26.96,G7V,1000,...,...,377,3.90E-05,54,5.90E-05,9.80E-05,1,Spitzer
HD7570,-0.25,15.26,F9V,2800,...,...,359,1.30E-05,94,5.40E-06,1.84E-05,1,Spitzer
HD7590,-0.5,24.17,G0V,1820,51,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD8538,...,30.48,A5IV,600,105,6.17E-06,...,...,...,...,6.17E-06," 7,61 ",IRAS
HD8907,-0.64,33.4,F8,2600,...,...,57,6.00E-05,30,6.20E-05,1.22E-04,1,Spitzer
HD8997,-0.41,23.29,K2.5V,500,70,4.40E-05,...,...,...,...,4.40E-05,11,WISE
