Name,lstar,rcold,sblow,tbb,smin,usmin,q,uq,td,utd,td/tbb,utd/tbb,chisq
GJ581,0.012,38,-1,15,1.50,2.32,3.37,0.60,24,11,1.59,0.74,0.78
HD197481,0.062,38,-1,22,0.21,2.27,3.33,0.43,42,12,1.93,0.55,5.28
HD23484,0.41,91,-1,24,1.46,2.45,3.41,0.45,37,10,1.56,0.42,1.56
HD104860,1.16,105,0.39,28,6.96,2.41,3.83,0.40,44,10,1.58,0.36,2.99
HD207129,1.25,148,0.41,24,4.93,1.67,4.23,0.46,56,16,2.33,0.67,6.19
HD10647,1.52,117,0.47,28,3.92,2.21,3.87,0.37,56,11,2.00,0.39,5.33
HD48682,1.83,142,0.54,27,1.83,2.73,3.70,0.60,65,11,2.42,0.41,4.62
HD50571,3.17,138,0.81,31,5.36,2.75,4.01,0.49,56,13,1.80,0.41,1.85
HD170773,3.44,207,0.86,26,5.04,2.83,4.02,0.46,53,7,1.99,0.26,3.37
HD218396,4.81,293,1.11,24,4.84,2.72,4.01,0.55,51,11,2.11,0.46,6.42
HD109085,4.87,145,1.14,35,7.46,1.81,2.85,0.40,35,17,1.01,0.49,1.80
HD27290,6.27,134,1.35,38,5.02,2.11,3.85,0.31,61,18,1.60,0.48,37.36
HD95086,7.04,230,1.47,30,2.96,3.54,3.83,0.54,61,19,2.03,0.64,1.30
HD195627,7.36,175,1.51,34,4.83,1.90,4.00,0.41,61,7,1.78,0.21,2.24
HD20320,10.3,157,1.94,45,5.38,2.56,3.90,0.59,68,7,1.50,0.15,0.52
HD21997,11.2,150,2.06,42,4.46,1.88,3.88,0.33,65,16,1.57,0.39,1.28
HD110411,11.7,111,2.13,50,3.42,1.91,4.10,0.44,87,21,1.73,0.42,9.21
HD142091,12.5,131,2.24,45,2.42,2.85,3.64,0.43,73,15,1.61,0.33,7.61
HD102647,13.2,48,2.33,78,8.84,2.14,4.24,0.44,72,11,0.92,0.14,1.79
HD125162,15.4,112,2.61,56,3.94,2.11,3.75,0.52,78,8,1.39,0.14,3.95
HD216956,15.5,123,2.62,50,3.88,2.64,3.44,0.39,63,12,1.25,0.24,3.51
HD17848,15.7,222,2.65,37,4.69,2.11,3.88,0.38,62,6,1.66,0.16,3.85
HD9672,16.0,172,2.68,43,3.98,2.02,3.85,0.38,70,16,1.64,0.38,1.08
HD71722,18.5,111,2.99,52,5.11,1.63,3.94,0.61,75,21,1.44,0.40,9.16
HD182681,24.9,184,3.72,46,2.47,1.74,3.95,0.44,90,19,1.97,0.42,2.32
HD14055,25.0,165,3.73,51,6.70,3.18,3.69,0.40,63,19,1.24,0.37,3.07
HD161868,26.0,143,3.84,53,4.81,2.41,3.72,0.36,72,7,1.35,0.13,9.61
HD188228,26.6,106,3.90,62,1.81,3.71,3.34,0.33,79,24,1.28,0.39,1.50
HD10939,31.3,180,4.40,49,8.81,1.90,3.78,0.38,59,5,1.20,0.10,4.00
HD71155,35.7,88,4.85,72,5.14,2.12,5.80,0.41,104,38,1.44,0.52,2.94
HD172167,51.8,115,6.38,60,9.05,1.91,3.67,0.34,68,2,1.14,0.03,9.87
HD139006,57.7,61,6.90,98,6.74,2.50,5.29,0.41,97,44,0.99,0.45,2.35
HD95418,58.2,61,6.95,98,5.18,2.12,4.43,0.33,110,43,1.12,0.44,9.50
HD13161,73.8,143,8.28,71,15.09,2.49,4.47,0.37,59,6,0.82,0.08,3.46
