# %ECSV 1.0
# ---
# datatype:
# - {name: Target, datatype: string}
# - {name: Distance (pc), datatype: float64}
# - {name: Distance error (pc), datatype: float64}
# - {name: RA (deg), datatype: float64}
# - {name: DEC (deg), datatype: float64}
# - {name: Flux B1 (uJy), datatype: float64}
# - {name: upFlux B1 (uJy), datatype: float64}
# - {name: udFlux B1 (uJy), datatype: float64}
# - {name: Radius (au), datatype: float64}
# - {name: Width (au), datatype: float64}
# - {name: inc (deg), datatype: float64}
# - {name: pa (deg), datatype: float64}
# schema: astropy-2.0
Target "Distance (pc)" "Distance error (pc)" "RA (deg)" "DEC (deg)" "Flux B1 (uJy)" "upFlux B1 (uJy)" "udFlux B1 (uJy)" "Radius (au)" "Width (au)" "inc (deg)" "pa (deg)"
GJ3760 24.691358024691358 3.709665150597292 196.37449416791668 37.13627970861111 17.597973538580543 6.266810341396097 2.311034977296168 59.5 34.3 55.8 70.5
HD197481 9.909820272610785 0.10520164900320772 311.28971873921626 -31.34089941384472 60.637083104447484 17.76840163039216 12.635980819473646 34.9 12.4 128.54 88.4
TYC93404371 36.536352551606605 0.35040427193121815 340.70389177422 -71.70588885193 25.629615871776323 17.34792061825415 8.119167381259881 130.0 100.0 130.0 40.0
HD22049 3.2028791506427408 0.00480079948785983 53.23268537982792 -9.458260970518056 120.93072231023066 58.4144567298433 28.209769449083268 68.3 12.0 178.0 30.0
HD53143 18.32508714664418 0.11489088103703082 104.99856271477168 -61.33618128654611 11.613883407839035 6.547015442314373 2.3639511463460634 88.4 23.0 157.5 56.1
HD61005 36.73769379962426 0.35429559053636694 113.94775981519 -32.20390141288 20.903217091408607 5.472206124803477 4.297567959191065 72.6 38.0 70.33 85.7
HD48370 35.727045665497386 0.3740388584886247 100.75426681825 -2.8886992880200006 72.5115988007888 29.7469658448528 19.294483009610243 88.3 37.1 71.1 69.3
HD115617 8.505347086776512 0.0172447845752135 199.60130827686294 -18.311193819050562 20.182542472289796 7.456112992406949 3.9246497893445227 47.0 36.0 58.0 80.0
HD38858 15.254739319255862 0.014465574690195382 87.14558439635 -4.09464494104 17.84928656127515 13.564028082117298 4.747793015622097 110.0 80.0 60.0 40.0
HD107146 27.469659033108744 0.017365462726374403 184.77709118346 16.548296591979998 72.370503516526 11.372637004528647 9.348955294772281 107.2 110.0 149.0 22.2
HD104860 45.004501840780335 0.4500436137651178 181.14054525824997 66.33658690477 14.999368151193243 5.571359493047904 3.2335188875392307 110.0 200.0 170.0 50.0
HD207129 15.637216388893677 0.19308230666347903 327.06562984757784 -47.30361608148555 13.072176740787253 4.336929247921184 2.132404497496434 150.0 39.0 118.0 60.7
HD105 38.47633739155578 0.4644721145270836 1.4689365904799998 -41.753068052319996 14.965052671186266 1.4045120486729026 1.4371490689801918 85.0 30.0 14.0 49.0
HD10647 17.344368525486516 0.02219932095015764 25.62214382373 -53.74083095924 23.3699528002305 5.5356339853761645 4.311288057921362 100.0 70.0 56.8 77.2
HD48682 16.716817203302703 0.08425793629874434 101.68473722918002 43.57742456382 14.347516302993514 10.784974061360597 5.3851861191310295 93.9 83.3 158.9 63.3
HD191089 50.94243722631659 0.7906204015633378 302.27173181612 -26.22403337938 16.195224736458027 1.476003337236114 0.8646739182252283 44.8 16.0 73.0 60.0
HD189002 114.28571428571429 21.399498133273525 299.60661237591 -14.01180949773 9.194297195787888 23.546259677763913 5.4898589204872765 592.1 469.4 79.0 14.9
