# %ECSV 1.0
# ---
# datatype:
# - {name: Target, datatype: string}
# - {name: Distance (pc), datatype: float64}
# - {name: Distance error (pc), datatype: float64}
# - {name: RA (deg), datatype: float64}
# - {name: DEC (deg), datatype: float64}
# - {name: Flux B6 (uJy), datatype: float64}
# - {name: upFlux B6 (uJy), datatype: float64}
# - {name: udFlux B6 (uJy), datatype: float64}
# - {name: Radius (au), datatype: float64}
# - {name: Width (au), datatype: float64}
# - {name: pa (deg), datatype: float64}
# - {name: inc (deg), datatype: float64}
# schema: astropy-2.0
Target "Distance (pc)" "Distance error (pc)" "RA (deg)" "DEC (deg)" "Flux B6 (uJy)" "upFlux B6 (uJy)" "udFlux B6 (uJy)" "Radius (au)" "Width (au)" "pa (deg)" "inc (deg)"
GJ581 6.514657980456026 0.11312547419519348 229.86177891146036 -7.722274860407221 276.0384851891409 36.94246387497729 26.5544496436351 25.3 18.6 147.9 63.0
GJ3760 24.691358024691358 3.709665150597292 196.37449416791668 37.13627970861111 2717.565488467536 974.2859430447824 359.2910539180205 59.5 34.3 55.8 70.5
HD192263 19.677292522727925 0.09336859269171072 303.49935657939 -0.8668804518800001 169.8248946985665 260.73168647029553 61.58741481139564 85.7 15.6 5.3 58.3
HD89452 35.41076515952128 0.4058536537813282 154.8690981883 6.582972521139999 927.625854702516 197.0714555267532 61.56295242156362 69.7 35.4 158.5 36.3
HD17925 10.351967037224101 0.04304368754778132 43.13386744000459 -12.769713348950832 269.0347825494574 256.1375937189158 82.78068881430286 25.0 8.0 125.0 90.0
HD23484 16.225863746047505 0.1783349488580157 56.03822071647666 -38.2817700731175 618.1677452397893 129.07304382595075 77.88471967547173 49.3 39.4 160.7 56.7
HD131511 11.535355540864124 0.10879843146679669 223.34902280422665 19.152797977366944 104.34949766217154 206.93286712597546 16.577999130276204 33.0 9.0 38.0 30.0
HD31392 25.766554099845987 0.20072568535021418 73.51753542573 -35.40451764462 1094.3127370300556 149.06317699242112 115.20638488203161 126.4 103.8 43.7 68.5
HD20794 6.00380624606188 0.008475556896078373 49.9818788009275 -43.069781996785 231.02006343227742 141.99426855297187 34.84593519622523 32.0 9.0 91.0 30.0
HD48370 35.727045665497386 0.3740388584886247 100.75426681825 -2.8886992880200006 6683.386823466474 2748.2041304245345 1782.5407195467822 88.3 37.1 71.1 69.3
HD115617 8.505347086776512 0.0172447845752135 199.60130827686294 -18.311193819050562 1980.4765252242712 888.9495167250128 467.9134472755007 47.0 36.0 58.0 80.0
HD30495 13.276686192933127 0.06376220906187413 71.90121542891 -16.93445568682 257.1181719773197 70.08194051612732 41.59631765939739 29.0 22.3 79.0 23.3
HD73350 24.420023965054952 0.19839125639517974 129.45955724852502 -6.806883308727778 1230.264731416236 314.6935576995167 255.9929843018931 100.4 84.6 80.7 36.5
HD110897 17.37015816051679 0.1952729766596697 191.24752068427662 39.27891614786027 260.1596794901619 120.35015355203682 52.84464598540276 63.9 35.7 156.2 55.8
HD377 37.87878842612163 0.45007298252075856 2.10727273132 6.61680261328 1331.6233176824735 832.1644279487772 459.546102525887 80.0 20.0 45.0 87.0
HD45184 21.96720739998847 0.015453447547827182 96.18283162327 -28.780115479430002 594.8581510485631 121.48326637394847 100.65226978961472 77.1 64.3 124.7 58.9
HD187897 33.43363440660541 0.6495283336577842 298.03911086045 7.46004512752 315.676052822613 32.76858323686776 30.531521704889098 90.1 27.1 4.1 65.7
HD1461 23.435670094023752 0.4763339063914671 4.674448649133749 -8.053001063860556 347.1248619613226 60.623349987374674 56.88180236376766 88.6 27.9 5.4 42.6
HD38397 53.73454955416624 0.6724113754907819 85.89920377807 -39.92353378909 1375.9190443341522 601.9130638525189 306.8591841808341 94.4 33.7 156.4 52.9
HD82943 27.61225668873907 0.02885009431076213 143.71139711343 -12.12954700061 749.9028541503042 126.66311448179934 105.68234116053866 89.4 62.3 19.4 24.1
HD48682 16.716817203302703 0.08425793629874434 101.68473722918002 43.57742456382 1872.9296606280182 1601.951349930978 799.8912305295948 93.9 83.3 158.9 63.3
HD8907 33.24468093538457 0.2786178429467938 22.14316519429 42.26769114285 2191.570825828831 140.30636745467274 151.10067602956923 100.4 48.9 178.0 42.0
HD165908 15.65435164807997 0.13595264825808862 271.75662775372 30.562106914579996 883.9323147264628 517.2053989926764 130.07326823018394 130.3 113.0 79.5 43.9
HD52265 30.006240616754248 0.04210606164394193 105.07514879809001 -5.367161369199999 166.28254248663433 201.78918400417 37.453906610253526 124.6 85.2 133.5 67.3
HD189002 114.28571428571429 21.399498133273525 299.60661237591 -14.01180949773 1600.4541022270625 4116.231388757282 959.7078227120385 592.1 469.4 79.0 14.9
HD22484 13.96257974938047 0.10607492478278147 54.21826543507 0.40166447161916674 239.4290370028726 183.4794770411094 35.22855382829665 46.0 15.0 2.0 90.0
HD113337 36.2178422859584 0.056230484831885974 195.44552872285996 63.61022100515 609.0111237086098 34.43424154718699 26.576666266389214 79.2 30.0 119.8 19.0
HD176894 85.17887729948022 5.237040267184284 285.13307808216 41.68424671337 2122.2550870315713 734.0371432309176 461.02667085423855 316.7 124.3 92.1 64.8
HD141133 106.72358721596001 9.151266403874914 237.12703814972997 -32.08655628264 2065.9460743394666 1361.4408272386765 936.9881411366052 243.5 142.0 78.4 31.6
HD37594 42.034466646334444 0.5912775021258909 84.87979410772 -3.5647041898000005 1738.2075701644492 217.44015878960687 217.01949509718042 131.3 35.0 127.7 14.1
HD27290 20.462451848910508 0.15185519294539773 64.00661092702 -51.48664797621 1841.9145313053418 747.39702459662 292.5992636936532 80.6 71.1 34.2 58.6
HD38529 42.40540478676824 0.10581983615391977 86.64547141187 1.1681952638499997 189.52021053073548 145.053351428142 47.38929489363891 108.1 54.3 47.0 64.3
HD195627 27.57099496495727 0.5188908695189554 308.89520861537994 -60.58174912319 2711.529734836704 286.7803189280038 182.68382657135794 119.1 106.6 177.6 56.5
HD95698 56.73114847226543 0.3197746954771503 165.60188799483 -26.83150561729 610.0802091099656 108.6865654849557 68.45519499852126 147.3 59.5 123.7 26.9
HD20320 36.791758232967126 1.361616897085156 48.95844035892001 -8.81973238362 287.55030261848606 38.69929149276052 25.023176335349284 83.5 53.0 44.1 44.0
HD142091 31.12355950066766 0.6023283634516616 237.8080470598467 35.65738158087722 1104.0159110069917 820.285780019357 150.30327666234578 102.9 66.3 126.2 66.7
HD153053 51.81347355080535 0.9569781848669123 255.02616372179 -54.597177028 680.1424871329591 275.33045295064727 174.07209229381326 164.0 125.9 83.6 46.9
HD138965 79.80846139753858 2.6317686573224535 235.04814899955 -70.22788319748 1662.8967711502007 56.11417690208009 79.91031797075587 163.6 38.5 103.0 47.1
HD102647 11.091392628461703 0.11057838240439288 177.26490975591017 14.572058064829658 459.6014477291694 58.197272255009146 35.09134424197685 31.7 23.6 141.1 39.4
HD70313 50.428643663509845 0.7222534733207198 125.95208880739 53.21971259114 478.69610903586437 93.9471032120619 100.70970163399635 115.3 42.0 50.0 80.0
HD110411 36.900368484266664 1.1513809020323151 190.47107061461998 10.2356257137 465.9716448406504 35.483595851128094 25.045205730263365 94.2 56.2 173.0 73.6
HD12467 76.62835137044459 3.0529223189580534 32.35545604717999 81.29594379983 703.2730589339379 60.97392109231603 58.863327875762984 128.7 64.5 19.3 27.6
HD141378 55.55555555555556 2.214521327896179 237.23665398594 -3.8185105382800004 516.1658119193519 25.329957645548905 31.87918365498721 126.3 60.3 78.2 34.8
HD31295 36.982247268555525 1.33192841666677 73.72386707883084 10.150834290816942 1210.6400121077131 126.96834605723151 92.00748510860102 105.8 64.5 74.7 39.5
HD125162 30.358228345193755 0.14817913617497425 214.0959100349329 46.08830429435917 1169.6353577488976 162.17227002044376 145.7393810317571 81.4 18.0 42.9 41.8
HD17848 52.13764254894964 1.5969070052166003 42.25619705806 -62.8065219516 978.7555616647771 104.38150976242144 88.15096776225262 151.6 101.3 118.6 78.6
HD192425 47.83453234128161 0.3139185251440182 303.56924451093 15.197607338079997 1419.826897350586 153.04628311532053 118.56395754156867 197.1 161.5 174.5 66.8
HD11413 75.87253238585286 2.929670759543754 27.726813387080004 -50.20613680654 351.195485411721 26.102207011944156 23.885039562352272 175.6 40.7 13.3 43.2
HD10939 57.01253978354965 2.089114796290872 26.52609583282 -53.52203570208 1375.6410305627771 110.60790352700268 93.85230805750666 148.9 65.6 40.8 33.6
HD13161 38.895372835852875 0.5212626431186962 32.38594634196055 34.98729706469149 1357.8166043581632 134.43355559263793 89.21366710167611 101.3 88.4 63.7 46.1
HD139006 23.009664543625796 0.14920513984974448 233.67195203403162 26.714685000024716 469.1464635201211 52.60944004529006 38.36151802007054 41.7 13.8 0.6 73.3
